"","text","score"
"297","#NFL #Apparel Pittsburgh Steelers NFL Team Apparel Faux Leather Jacket Men's Size XL https://t.co/L6BMSiTXJx #Deal… https://t.co/e8AWxj3Dhm",0
"303","TIX https://t.co/LCtgpkzWDP 8/02 San Francisco #Giants Oakland ATHLETICS ( 3 of 26 #Tickets!) FRONT…… https://t.co/ET9VHRv43z",0
"305","#Christmas  Antique Chinese Vase Robin's Egg Magpie Bird Blossoms Qianlong Mid 20thC https://t.co/LnxqC2ZJTH… https://t.co/56y5EW1EkR",0
"306","#MargotRobbie SIGNED HARLEY QUINN SUICIDE SQUAD 8X10 #Photo https://t.co/UBW6yv9F4v #Fashion #Beauty https://t.co/or51yEX9T6",0
"308","San Antonio #Spurs #2 Kawhi Leonard Black/White Mens Swingman #BasketBall #Jersey https://t.co/VjazPjy856 #Sporting… https://t.co/4ZblXyjsyV",0
"309","Realacc Waterproof Wear-resistant Backpack Shoulder Bag Case For DJI Phantom 3 https://t.co/AEm0huzz7V https://t.co/SkuUm0KomJ",0
"310","Check out Art Deco Stick Pin Brooch Rhinestone Vintage Red Two Piece Bar Screw In 740 #Unbranded https://t.co/sWtj4pxLdF via @eBay",0
"312","#NBA 2016-17 DONRUSS OPTIC DIRK NOWITZKI 41/99 RED PRIZM COURT KINGS #Jersey# 1/1 https://t.co/SUpmOW6TmV… https://t.co/Wsx4trRjfh",0
"313","Epee Fencing Mask 350N XS Extra Small New

$25.00
End Date: Friday Jun-2-2017 5:05:34 PDT
Buy It Now for only: $25…… https://t.co/vDvXnHWUS5",0
"318","VINTAGE EPEE FENCING SWORD

$50.00 (0 Bids)
End Date: Wednesday May-10-2017 13:23:23 PDTBid now | Add to watch lis…… https://t.co/EXUa2hGk8c",0
"320","2007 Playoff NFL Playoffs PLATINUM Demetrius Williams 1/1 Baltimore #Ravens https://t.co/SLV6LZ3j91 #NFL https://t.co/EkVL6TJfrr",0
"321","#DallasCowboys #WeDemBoyz NEW MENS NIKE TONY ROMO OFFICIAL DALLAS COWBOYS COLOR RUSH JERSEY SIZE SMALL https://t.co/VDZTf851AJ",0
"323","Check out my listing on @eBay: https://t.co/rVAHmXpTh0 via @eBay",0
"324","Check out VAMPIRELLA ORIGINAL COMIC ART by Keyeske  https://t.co/8NbDt96JEO via @eBay",0
"325",".100 Gram Natural Raw Alaskan Placer Gold Nugget Flake Paydirt Fines From Alaska: $4.75 (4… https://t.co/rUQmcW0mIn",0
"326","#Sport #Goods San Antonio #Spurs #2 Kawhi Leonard Black/White Mens Swingman #BasketBall #Jersey… https://t.co/eFXYJsTzh0",0
"331","#Cards #Card Cleveland #Cavaliers Channing Frye 2016-17 Prizm Prizms Starburst Basketball Card… https://t.co/8AcZfVaQMU",0
"333","#LaurenceFishburne Standoff Blu Ray, no digital HD - Laurence Fishburne, Thomas Jane https://t.co/CoYevznSp4",0
"334","#MuhammadAli Adidas Originals Muhammad Ali T Shirt Size L EUC https://t.co/gYO4Lkk8f3 #Legend #Boxer https://t.co/G5MIKtZ2lu",0
"335","#BillyJoel #PianoMan Stranger - Billy Joel 886973185810 (Vinyl Used Very Good) https://t.co/oVeuqt1F4z #Music #Deals",0
"336","#Producer #Musician In the Line of Fire #DVD #ClintEastwood John Malkovich Rene Russo https://t.co/tHLEGIQ6Ul… https://t.co/vldjApuDQ8",0
"338","#tomford #auction New Rare $5790 Tom Ford Gray Wool Double Breasted Coat Size 38 (48 EU) NWT https://t.co/9H6ISSA6VL",0
"339","#NBA San Antonio #Spurs #2 Kawhi Leonard Black/White Mens Swingman Basketball #Jersey https://t.co/6qUTs6TSx3… https://t.co/Ovg0Cz8SZf",0
"341","#Cowboys #FootBall New Era Dallas Cowboys Sports Knit 2015 Retro Blue Beanie Pom Hat Cap NFL Sz… https://t.co/b0zvns5hIg #NFL #Sport #Deal",0
"342","#Nikon #Coolpix: Nikon Coolpix P530 Digital Camera - Black 16GB Package https://t.co/xmo2sL6NdX #Cameras https://t.co/xE4o2tetRi",0
"343","#MLB TIX: 2 Chicago Cubs vs New York #Yankees #Tickets 05/07/17 Sunday Night! Wrigley. https://t.co/YHoxERfD6P… https://t.co/f4AfaONzMl",0
"344","#tomford #auction Tom Ford Tie geometric Violet Silk https://t.co/lTr1EzCIru",0
"345","Realacc Waterproof Wear-resistant Backpack Shoulder Bag Case For DJI Phantom 3 https://t.co/5zTAFtRQrD https://t.co/KdyG1ZgzMf",0
"347","#DetroitTigers #Card 2016 MIGUEL CABRERA TOPPS ALL STAR GAME USED JERSEY CARD DETROIT TIGERS… https://t.co/Z3guAUX3td",0
"348","Weekend shopping, eBay  https://t.co/D1o0Hq7UEf",0
"351","https://t.co/gUnE4CkUBp Vintage Sz M African springbok  Vest 1970s Boho Unisex",0
"354","#BMX BMX EASTERN GROWLER BMX CUSTOM  https://t.co/d6atuXPJSU #sports",0
"355","Check out T-Shirt Cheers Boston Where Everyone Knows your name EST 1982 https://t.co/OIu2RjnIUm @eBay",0
"357","#regensburg ebay #italiano lesbianism #solihull balls https://t.co/P7VNcdCxTn",0
"358","Be Fit https://t.co/ls9i051BlX",0
"359","#marketing Social Media Marketing All-in-One For Dummies by Jan Zimmerman 9781118951354 https://t.co/Gujgi1lXTQ #business",0
